model,accuracy,precision,recall,f1,f2,mcc,roc_auc,tn,fp,fn,tp
Random Forest,0.9623797025371829,0.9575757575757575,0.9676290463692039,0.9625761531766753,0.965601536581107,0.9248103739080898,0.9933935423426402,1094,49,37,1106
Extra Trees,0.9588801399825022,0.9588801399825022,0.9588801399825022,0.9588801399825022,0.9588801399825022,0.9177602799650044,0.991466180463225,1096,47,47,1096
Gradient Boosting,0.9505686789151356,0.9455017301038062,0.9562554680664916,0.9508481948673336,0.9540851955307262,0.901195648276458,0.9903256843550724,1080,63,50,1093
Decision Tree,0.9387576552930884,0.937227550130776,0.9405074365704287,0.9388646288209607,0.9398496240601504,0.8775206840733673,0.951890965510326,1071,72,68,1075
K-Nearest Neighbors,0.9396325459317585,0.9539295392953929,0.9238845144356955,0.9386666666666666,0.9297411516111992,0.8797015329609964,0.9788441799105821,1092,51,87,1056
Logistic Regression,0.9361329833770778,0.9392070484581497,0.9326334208223972,0.935908691834943,0.9339407744874715,0.8722873327137197,0.9814221603751849,1074,69,77,1066
